iter	Passed	Remaining
652	7062	3752
653	7072	3741
654	7084	3731
655	7095	3720
656	7107	3710
657	7117	3699
658	7128	3688
659	7141	3678
660	7151	3667
661	7163	3657
662	7172	3645
663	7183	3635
664	7193	3623
665	7205	3613
666	7216	3603
667	7226	3591
668	7236	3580
669	7248	3570
670	7259	3559
671	7270	3548
672	7280	3537
673	7289	3525
674	7300	3515
675	7311	3504
676	7321	3493
677	7332	3482
678	7342	3471
679	7355	3461
680	7364	3449
681	7374	3438
682	7386	3428
683	7395	3416
684	7406	3405
685	7417	3395
686	7428	3384
687	7439	3373
688	7451	3363
689	7463	3353
690	7475	3343
691	7488	3333
692	7500	3322
693	7511	3312
694	7523	3301
695	7536	3291
696	7549	3281
697	7561	3271
698	7574	3261
699	7584	3250
700	7596	3240
701	7606	3228
702	7618	3218
703	7631	3208
704	7643	3198
705	7655	3187
706	7666	3177
707	7679	3167
708	7690	3156
709	7702	3146
710	7715	3136
711	7727	3125
712	7738	3115
713	7749	3104
714	7761	3093
715	7774	3083
716	7786	3073
717	7797	3062
718	7810	3052
719	7823	3042
720	7836	3032
721	7847	3021
722	7860	3011
723	7873	3001
724	7885	2990
725	7896	2980
726	7907	2969
727	7918	2958
728	7930	2948
729	7941	2937
730	7952	2926
731	7963	2915
732	7974	2904
733	7985	2893
734	7997	2883
735	8010	2873
736	8024	2863
737	8037	2853
738	8049	2842
739	8062	2832
740	8073	2821
741	8086	2811
742	8099	2801
743	8112	2791
744	8123	2780
745	8134	2769
746	8145	2758
747	8158	2748
748	8169	2737
749	8180	2726
750	8193	2716
751	8204	2705
752	8216	2695
753	8228	2684
754	8241	2674
755	8254	2664
756	8266	2653
757	8279	2643
758	8291	2632
759	8305	2622
760	8318	2612
761	8330	2602
762	8341	2590
763	8350	2579
764	8361	2568
765	8372	2557
766	8383	2546
767	8394	2535
768	8406	2525
769	8417	2514
770	8429	2503
771	8441	2493
772	8455	2483
773	8469	2473
774	8481	2462
775	8493	2451
776	8506	2441
777	8519	2430
778	8532	2420
779	8545	2410
780	8556	2399
781	8568	2388
782	8582	2378
783	8594	2367
784	8606	2357
785	8618	2346
786	8632	2336
787	8643	2325
788	8656	2315
789	8669	2304
790	8681	2293
791	8693	2283
792	8707	2272
793	8720	2262
794	8732	2251
795	8744	2240
796	8757	2230
797	8768	2219
798	8779	2208
799	8791	2197
800	8803	2187
801	8814	2176
802	8827	2165
803	8840	2155
804	8852	2144
805	8864	2133
806	8875	2122
807	8886	2111
808	8898	2100
809	8910	2090
810	8924	2079
811	8935	2068
812	8948	2058
813	8962	2047
814	8973	2036
815	8985	2026
816	8996	2015
817	9008	2004
818	9021	1993
819	9032	1982
820	9043	1971
821	9056	1961
822	9070	1950
823	9081	1939
824	9094	1929
825	9106	1918
826	9118	1907
827	9134	1897
828	9144	1886
829	9155	1875
830	9167	1864
831	9180	1853
832	9193	1843
833	9204	1832
834	9215	1821
835	9226	1810
836	9240	1799
837	9251	1788
838	9264	1777
839	9277	1767
840	9290	1756
841	9302	1745
842	9315	1734
843	9326	1723
844	9337	1712
845	9349	1701
846	9360	1690
847	9372	1680
848	9382	1668
849	9395	1658
850	9407	1647
851	9419	1636
852	9430	1625
853	9443	1614
854	9455	1603
855	9467	1592
856	9479	1581
857	9490	1570
858	9503	1559
859	9515	1549
860	9527	1538
861	9540	1527
862	9551	1516
863	9563	1505
864	9574	1494
865	9586	1483
866	9598	1472
867	9613	1461
868	9625	1451
869	9639	1440
870	9652	1429
871	9665	1418
872	9676	1407
873	9687	1396
874	9699	1385
875	9710	1374
876	9721	1363
877	9733	1352
878	9746	1341
879	9760	1330
880	9772	1320
881	9783	1308
882	9795	1297
883	9807	1287
884	9820	1276
885	9831	1264
886	9843	1254
887	9860	1243
888	9871	1232
889	9882	1221
890	9892	1210
891	9906	1199
892	9919	1188
893	9930	1177
894	9942	1166
895	9955	1155
896	9966	1144
897	9978	1133
898	9992	1122
899	10003	1111
900	10015	1100
901	10027	1089
902	10041	1078
903	10053	1067
904	10065	1056
905	10078	1045
906	10090	1034
907	10102	1023
908	10114	1012
909	10125	1001
910	10139	990
911	10152	979
912	10163	968
913	10176	957
914	10189	946
915	10202	935
916	10214	924
917	10226	913
918	10236	902
919	10249	891
920	10261	880
921	10273	869
922	10288	858
923	10298	847
924	10311	836
925	10322	824
926	10332	813
927	10345	802
928	10356	791
929	10368	780
930	10380	769
931	10391	758
932	10404	747
933	10416	736
934	10429	725
935	10441	713
936	10453	702
937	10464	691
938	10477	680
939	10490	669
940	10502	658
941	10514	647
942	10524	636
943	10536	625
944	10548	613
945	10560	602
946	10570	591
947	10582	580
948	10595	569
949	10607	558
950	10618	547
951	10629	535
952	10642	524
953	10654	513
954	10667	502
955	10679	491
956	10706	481
957	10716	469
958	10728	458
959	10740	447
960	10753	436
961	10763	425
962	10774	413
963	10786	402
964	10798	391
965	10810	380
966	10822	369
967	10832	358
968	10844	346
969	10857	335
970	10869	324
971	10880	313
972	10894	302
973	10905	291
974	10916	279
975	10927	268
976	10939	257
977	10951	246
978	10963	235
979	10975	223
980	10988	212
981	11002	201
982	11014	190
983	11025	179
984	11038	168
985	11051	156
986	11062	145
987	11074	134
988	11087	123
989	11099	112
990	11111	100
991	11123	89
992	11133	78
993	11146	67
994	11158	56
995	11169	44
996	11182	33
997	11194	22
998	11207	11
999	11220	0
